Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-12 00:00:00-05:00,185.9600067138672,188.32000732421875,180.24000549316406,185.42999267578125,16849100,0.0,0.0
2026-02-13 00:00:00-05:00,186.44000244140625,193.4499969482422,184.3000030517578,189.72000122070312,14822900,0.0,0.0
2026-02-17 00:00:00-05:00,190.97000122070312,193.0,183.1699981689453,184.2899932861328,13692900,0.0,0.0
2026-02-18 00:00:00-05:00,183.8800048828125,188.13999938964844,181.86000061035156,187.7899932861328,9852900,0.0,0.0
2026-02-19 00:00:00-05:00,186.60000610351562,186.9499969482422,183.22999572753906,185.2899932861328,9565100,0.0,0.0
2026-02-20 00:00:00-05:00,185.32000732421875,191.72999572753906,183.72999572753906,185.16000366210938,10816200,0.0,0.0
2026-02-23 00:00:00-05:00,181.27000427246094,182.47000122070312,174.57000732421875,178.16000366210938,15498600,0.0,0.0
2026-02-24 00:00:00-05:00,177.63999938964844,188.6699981689453,176.27999877929688,185.4199981689453,15564700,0.0,0.0
2026-02-25 00:00:00-05:00,183.0,192.60000610351562,182.25999450683594,191.75,21875100,0.0,0.0
2026-02-26 00:00:00-05:00,196.75999450683594,201.0399932861328,191.3300018310547,199.47000122070312,26680500,0.0,0.0
2026-02-27 00:00:00-05:00,191.91000366210938,195.9199981689453,189.9199981689453,194.7899932861328,16346500,0.0,0.0
2026-03-02 00:00:00-05:00,192.5,195.94000244140625,190.67999267578125,192.9499969482422,9932700,0.0,0.0
2026-03-03 00:00:00-05:00,190.75,198.6699981689453,189.5800018310547,196.0500030517578,13208900,0.0,0.0
2026-03-04 00:00:00-05:00,195.10000610351562,196.47000122070312,192.10000610351562,193.0800018310547,11583700,0.0,0.0
2026-03-05 00:00:00-05:00,194.36000061035156,204.4199981689453,194.24000549316406,201.38999938964844,15860900,0.0,0.0
2026-03-06 00:00:00-05:00,200.7899932861328,202.9600067138672,197.3699951171875,202.11000061035156,9657400,0.0,0.0
2026-03-09 00:00:00-04:00,198.55999755859375,203.6699981689453,195.8699951171875,198.7899932861328,10754800,0.0,0.0
2026-03-10 00:00:00-04:00,197.25999450683594,199.57000732421875,190.60000610351562,194.91000366210938,14467400,0.0,0.0
2026-03-11 00:00:00-04:00,196.39999389648438,199.5500030517578,191.2899932861328,194.1300048828125,9580000,0.0,0.0
2026-03-12 00:00:00-04:00,194.1300048828125,204.86000061035156,193.14999389648438,199.27999877929688,26309700,0.0,0.0
2026-03-13 00:00:00-04:00,199.72999572753906,200.99989318847656,191.75999450683594,192.8300018310547,14651159,0.0,0.0
